iter	RMSE
0	1.132092237
1	1.124016985
2	1.117631491
3	1.111380824
4	1.105671872
5	1.100854307
6	1.096021804
7	1.09048885
8	1.0851996
9	1.080555999
10	1.074138838
11	1.071321722
12	1.065330718
13	1.059230632
14	1.053622076
15	1.047488737
16	1.042992323
17	1.036937812
18	1.030967514
19	1.0247536
20	1.019072911
21	1.015712123
22	1.009561423
23	1.00230213
24	0.9963902145
25	0.991109259
26	0.9852071141
27	0.9801791949
28	0.9773839563
29	0.9739001525
30	0.9678456804
31	0.9638467876
32	0.9588706907
33	0.9542647094
34	0.9490509739
35	0.9445365906
36	0.9386724001
37	0.9331245189
38	0.9270574873
39	0.9224757845
40	0.9207189266
41	0.9151702476
42	0.9102886138
43	0.9062553085
44	0.900024929
45	0.8963025246
46	0.8912581119
47	0.8864620563
48	0.881274321
49	0.8751941319
50	0.8704002113
51	0.865971828
52	0.8615572173
53	0.858434234
54	0.8534171837
55	0.8487044485
56	0.8446989521
57	0.8398122214
58	0.834949776
59	0.8310823168
60	0.8264753018
61	0.8220946661
62	0.816829447
63	0.8127668558
64	0.8085242291
65	0.8037911524
66	0.798046333
67	0.7944033018
68	0.790325754
69	0.7869863254
70	0.7832860836
71	0.7811089162
72	0.7775637968
73	0.7736719959
74	0.7706880569
75	0.7661044074
76	0.7626924365
77	0.7581277314
78	0.7547392359
79	0.7499693935
80	0.7468019446
81	0.7439230892
82	0.7399704118
83	0.7352622239
84	0.7301149777
85	0.726497921
86	0.7228079138
87	0.7185643211
88	0.7149069038
89	0.7099473286
90	0.7077749156
91	0.7045010367
92	0.700823671
93	0.6971195142
94	0.69315374
95	0.6888654365
96	0.6846508397
97	0.6802435814
98	0.6761369605
99	0.6732798217
100	0.6697015054
101	0.6665073406
102	0.6621733594
103	0.6590573519
104	0.655418402
105	0.6512019786
106	0.6467880192
107	0.6421164285
108	0.6387757054
109	0.6357465503
110	0.6325646952
111	0.6292710199
112	0.6249377199
113	0.6223040949
114	0.6193096209
115	0.6160210601
116	0.6138753097
117	0.6115338249
118	0.6091619444
119	0.6061577749
120	0.6030214894
121	0.6001838135
122	0.5967644311
123	0.5934331566
124	0.5902176301
125	0.5864737263
126	0.5815919333
127	0.5778809954
128	0.5750438752
129	0.5723694369
130	0.5697974002
131	0.5669830609
132	0.5639444455
133	0.5610351555
134	0.5587307676
135	0.5560807954
136	0.5522184877
137	0.550129423
138	0.5473272527
139	0.544770691
140	0.541325393
141	0.5381009698
142	0.5346811338
143	0.5323910209
144	0.530029904
145	0.5278656986
146	0.5264425177
147	0.5241942224
148	0.5217336037
149	0.5188611479
150	0.5156050288
151	0.5135352549
152	0.5110040255
153	0.5087840032
154	0.506129184
155	0.503450515
156	0.5002393101
157	0.4968269417
158	0.4949277095
159	0.4912841041
160	0.4880836034
161	0.4854894767
162	0.482501623
163	0.4788849747
164	0.4755460605
165	0.4726265801
166	0.4700252396
167	0.4676358679
168	0.4653776964
169	0.4627156563
170	0.4604845011
171	0.4577280021
172	0.455284412
173	0.4540261465
174	0.4526062365
175	0.4502858042
176	0.4472634414
177	0.445393831
178	0.4429711025
179	0.4418049224
180	0.4392465657
181	0.4375207964
182	0.4347291576
183	0.4329989848
184	0.431619478
185	0.4289437282
186	0.4273880046
187	0.4251552157
188	0.4224358295
189	0.4202501095
190	0.4182867996
191	0.4161597213
192	0.4146292032
193	0.4123212625
194	0.4102376701
195	0.4072507195
196	0.4049590074
197	0.4026677478
198	0.4013621423
199	0.3991630037
200	0.3970961746
201	0.3955660906
202	0.3940359136
203	0.3917637283
204	0.3893409055
205	0.387873774
206	0.3863191171
207	0.384053311
208	0.3816675763
209	0.3791533246
210	0.3770014063
211	0.3738431953
212	0.3718514346
213	0.3703081809
214	0.3683051434
215	0.3663561418
216	0.3650320273
217	0.3637548312
218	0.3623933629
219	0.3605397783
220	0.3592826476
221	0.357863798
222	0.3560928745
223	0.3536431668
224	0.3519341713
225	0.3507138448
226	0.349621502
227	0.3475210006
228	0.3457413648
229	0.3445642876
230	0.3425645726
231	0.3403418189
232	0.339242603
233	0.3372384322
234	0.3353459807
235	0.3335954234
236	0.33257211
237	0.3310300657
238	0.3294598912
239	0.3286917518
240	0.3272786132
241	0.3263325881
242	0.3247701105
243	0.323174377
244	0.3215311119
245	0.3191285495
246	0.3176150518
247	0.3169243961
248	0.3155832245
249	0.3134641285
250	0.3118036468
251	0.3100044536
252	0.3085332078
253	0.3060564138
254	0.3047702418
255	0.3032107245
256	0.3010079542
257	0.2996521849
258	0.2974255371
259	0.2949477477
260	0.29351962
261	0.291147065
262	0.2901845483
263	0.2886886583
264	0.2871533353
265	0.2855387198
266	0.2840872769
267	0.2826890629
268	0.2810805359
269	0.2790864396
270	0.2782302507
271	0.2768920107
272	0.275883771
273	0.2744655867
274	0.2723062946
275	0.2711207239
276	0.2689993699
277	0.2676423679
278	0.2664235532
279	0.2646841975
280	0.2632078217
281	0.2616231927
282	0.2605313449
283	0.258731319
284	0.25748309
285	0.2561464532
286	0.254164689
287	0.252722648
288	0.2514361906
289	0.2496194662
290	0.2483165683
291	0.2469987639
292	0.2457443647
293	0.2445413025
294	0.24294615
295	0.2410295947
296	0.2397874346
297	0.2379042141
298	0.2365018843
299	0.2349816931
300	0.2338252209
301	0.2320006729
302	0.2305150316
303	0.2294132857
304	0.2282336617
305	0.2264618751
306	0.2254692678
307	0.2237263876
308	0.2220045767
309	0.2203035959
310	0.2188835631
311	0.2174904435
312	0.2168727932
313	0.2154048721
314	0.2140374918
315	0.2126836359
316	0.2113431488
317	0.2100158768
318	0.2090139371
319	0.2074320475
320	0.2061349475
321	0.2045830665
322	0.2033094625
323	0.2023424959
324	0.2009809929
325	0.2000278169
326	0.1987860941
327	0.1978465567
328	0.1966903285
329	0.1954745551
330	0.1942706386
331	0.1930784448
332	0.1918978417
333	0.1904704669
334	0.1895735624
335	0.1884716108
336	0.1875869138
337	0.1866397438
338	0.1853886052
339	0.1845229447
340	0.1833996339
341	0.1824753885
342	0.181589853
343	0.1806131729
344	0.1796998494
345	0.1787413407
346	0.1776557838
347	0.176548206
348	0.1756025202
349	0.1746653306
350	0.1735006464
351	0.1726255035
352	0.1717076416
353	0.1708772517
354	0.1699728673
355	0.1689438774
356	0.1679248463
357	0.1670767234
358	0.1660717565
359	0.1653033299
360	0.1645077231
361	0.1636413264
362	0.1628149678
363	0.1619604205
364	0.1611017361
365	0.1601354317
366	0.1593988333
367	0.1586683589
368	0.1578284701
369	0.1571076006
370	0.1563927187
371	0.1556837738
372	0.1548715171
373	0.154066559
374	0.1533828164
375	0.1525888239
376	0.1519147064
377	0.151106371
378	0.1504413805
