iter	Passed	Remaining
0	0	156
1	0	111
2	0	105
3	0	100
4	0	91
5	0	90
6	0	83
7	0	83
8	0	82
9	2	198
10	2	186
11	2	178
12	2	171
13	2	165
14	2	159
15	2	154
16	4	241
17	4	237
18	4	236
19	4	236
20	5	279
21	6	288
22	6	279
23	6	270
24	6	264
25	6	256
26	7	252
27	7	246
28	7	240
29	7	235
30	7	231
31	7	227
32	7	222
33	7	217
34	7	213
35	7	210
36	7	206
37	8	203
38	8	200
39	8	198
40	8	195
41	8	191
42	8	188
43	8	185
44	8	182
45	8	179
46	11	240
47	11	237
48	12	233
49	12	231
50	12	230
51	12	228
52	12	225
53	12	222
54	12	220
55	13	225
56	13	227
57	13	224
58	13	222
59	14	220
60	14	218
61	14	216
62	15	236
63	15	233
64	16	230
65	16	228
66	16	226
67	16	224
68	16	222
69	16	219
70	16	217
71	16	215
72	16	213
73	16	212
74	17	210
75	17	212
76	17	211
77	17	208
78	17	206
79	17	204
80	17	203
81	17	201
82	18	199
83	18	197
84	18	196
85	18	194
86	18	192
87	18	190
88	18	189
89	18	188
90	18	187
91	18	186
92	18	185
93	19	184
94	19	189
95	19	187
96	20	186
97	20	188
98	20	187
99	20	185
100	20	185
101	20	184
102	21	183
103	21	181
104	21	180
105	21	179
106	21	178
107	21	177
108	21	176
109	21	175
110	21	174
111	21	173
112	21	172
113	22	171
114	22	170
115	22	169
116	22	168
117	22	167
118	22	167
119	22	166
120	22	165
121	22	164
122	22	163
123	23	162
124	23	161
125	23	161
126	23	161
127	23	160
128	23	160
129	23	159
130	23	158
131	23	157
132	24	157
133	24	156
134	24	155
135	24	155
136	24	154
137	24	153
138	24	153
139	24	152
140	24	152
141	25	151
142	25	150
143	25	150
144	27	160
145	27	159
146	27	158
147	27	158
148	27	157
149	27	156
150	27	156
151	27	155
152	27	154
153	28	154
154	28	153
155	28	153
156	28	152
157	28	151
158	28	151
159	28	150
160	28	149
161	29	153
162	29	152
163	29	151
164	29	151
165	29	150
166	30	150
167	30	149
168	30	148
169	30	148
170	30	147
171	30	147
172	30	146
173	30	145
174	30	145
175	30	144
176	31	144
177	32	148
178	32	148
179	32	148
180	32	147
181	32	148
182	33	147
183	33	147
184	33	146
185	33	146
186	33	145
187	33	145
188	33	144
189	33	144
190	33	143
191	33	143
192	34	142
193	34	141
194	34	141
195	34	140
196	34	140
197	34	139
198	34	139
199	34	139
200	34	138
201	35	138
202	35	138
203	35	137
204	35	137
205	36	140
206	36	140
207	36	140
208	36	139
209	37	139
210	37	139
211	37	138
212	37	138
213	37	137
214	37	137
215	37	136
216	37	136
217	37	135
218	37	135
219	38	134
220	38	134
221	38	133
222	39	137
223	39	136
224	39	136
225	39	136
226	39	135
227	39	135
228	40	135
229	40	134
230	40	134
231	40	134
232	40	133
233	40	133
234	40	133
235	41	133
236	41	132
237	41	132
238	41	131
239	41	131
240	41	130
241	41	130
242	41	130
243	41	129
244	41	129
245	42	128
246	42	128
247	42	128
248	42	127
249	42	127
250	42	126
251	42	126
252	42	126
253	42	126
254	43	126
255	43	125
256	43	125
257	43	125
