yearmonth,banner,category,brand,segment,pri_sales_tons,packgroup,sec_sales_tons,dp_name_under_invest_promotion,invest_sum_promotion,duration_invest_mean_promotion,dp_name_under_invest_media,invest_sum_media,duration_invest_mean_media,promo_in_month,media_in_month,pri_sales_tons_MA,history_correction,outlier_corrected_data,Insample Forecast,Actual Sales(Corrected),no_of_working_days,massive,ocd,ps_v2,ps_v3,packgroup_tdp,visibility,Error_reg
202101,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.022431999,SINGLE PACK,0,0,0,0,0,0,0,0,0,0.022431999,0.022431999,0.022431999,0,0.024813137,25,0,0,0,0,0,0,0.022431999
202102,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.030142999,SINGLE PACK,0,0,0,0,0,0,0,0,0,0.026287499,0.030142999,0.030142999,0,0.026571515,19,0,0,0,0,0,0,0.030142999
202103,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.023833999,SINGLE PACK,0,0,0,0,0,0,0,0,0,0.025469666,0.025469666,0.025469666,0.025399263,0.024813137,27,0,0,0,0,0,0,7.04027E-05
202104,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.028039999,SINGLE PACK,0,0,0,0,0,0,0,0,0,0.027338999,0.028039999,0.028039999,0.025618106,0.025469666,24,0,0,0,0,0,0,0.002421893
202105,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.022431999,SINGLE PACK,0,0,0,0,0,0,0,0,0,0.024768666,0.024768666,0.024768666,0.025588341,0.026482221,25,0,0,0,0,0,0,-0.000819675
202106,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.016823999,SINGLE PACK,0,0,0,0,0,0,0,0,0,0.022431999,0.022431999,0.022431999,0.02573795,0.025261962,26,0,0,0,0,0,0,-0.003305951
202107,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.026637999,SINGLE PACK,0,0,0,0,0,0,0,0,0,0.021964666,0.026637999,0.026637999,0.025827378,0.02573795,27,0,0,0,0,0,0,0.000810621
202108,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.006309,SINGLE PACK,0,0,0,0,0,0,0,0,0,0.016590333,0.016590333,0.016590333,0.025609097,0.025827378,26,0,0,0,0,0,0,-0.009018764
202109,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.016122999,SINGLE PACK,0,0,0,0,0,0,0,0,0,0.016356666,0.016356666,0.016356666,0.025724808,0.025609096,25,0,0,0,0,0,0,-0.009368142
202110,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.018926999,SINGLE PACK,0,0,0,0,0,0,0,0,0,0.013786333,0.018926999,0.018926999,0.025720427,0.025724808,26,0,0,0,0,0,0,-0.006793428
202111,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.022431999,SINGLE PACK,0,0,0,0,0,0,0,0,0,0.019160666,0.022431999,0.022431999,0.025684777,0.025720427,26,0,0,0,0,0,0,-0.003252778
202112,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.023833999,SINGLE PACK,0,0,0,0,0,0,0,0,0,0.021730999,0.023833999,0.023833999,0.025710004,0.025684777,27,0,0,0,0,0,0,-0.001876005
202201,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.037853999,SINGLE PACK,0,1,53870000,78,0,0,0,21409871.79,0,0.028039999,0.037853999,0.037853999,0.025719873,0.025710004,22,0,0,0,0,0,0,0.012134126
202202,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.028039999,SINGLE PACK,0,0,0,0,0,0,0,19337948.72,0,0.029909332,0.029909332,0.029909332,0.025715308,0.02570507,19,0,0,0,0,0,0,0.004194024
202203,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.030142999,SINGLE PACK,0,0,0,0,0,0,0,13122179.49,0,0.032012332,0.032012332,0.032012332,0.025689835,0.02569995,27,0,0,0,0,0,0,0.006322497
202204,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.042760998,SINGLE PACK,0,1,13467500,89,0,0,0,4539606.742,0,0.033647999,0.042760998,0.042760998,0.025708339,0.025705008,24,0,0,0,0,0,0,0.017052659
202205,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.032946999,SINGLE PACK,0,0,0,0,0,0,0,4690926.966,0,0.035283665,0.035283665,0.035283665,0.025704494,0.025703343,25,0,0,0,0,0,0,0.009579171
202206,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.026637999,SINGLE PACK,0,0,0,0,0,0,0,4236966.292,0,0.034115332,0.034115332,0.034115332,0.025700889,0.025702767,26,0,0,0,0,0,0,0.008414443
202207,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.057562998,SINGLE PACK,0,1,16161000,91,0,0,0,5505395.604,0,0.039049332,0.057562998,0.057562998,0.025704574,0.025703706,26,0,0,0,0,0,0,0.031858424
202208,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.139267994,SINGLE PACK,0,0,0,0,0,0,0,5505395.604,0,0.074489664,0.139267994,0.139267994,0.025703319,0.025703272,27,0,0,0,0,0,0,0.113564675
202209,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.109983995,SINGLE PACK,0,0,0,0,0,0,0,5150208.791,0,0.102271662,0.109983995,0.109983995,0.025702927,0.025703248,25,0,0,0,0,0,0,0.084281068
202210,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.053296998,SINGLE PACK,0,1,26935000,92,0,0,0,9075923.913,0,0.100849662,0.100849662,0.100849662,0.025703607,0.025703409,26,0,0,0,0,0,0,0.075146055
202211,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.056524998,SINGLE PACK,0,0,0,0,0,0,0,8783152.174,0,0.073268664,0.073268664,0.073268664,0.025703285,0.02570331,26,0,0,0,0,0,0,0.047565379
202212,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.041526998,SINGLE PACK,0,0,0,0,0,0,0,9075923.913,0,0.050449665,0.050449665,0.050449665,0.025703273,0.025703322,27,0,0,0,0,0,0,0.024746392
202301,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.069604997,SINGLE PACK,0,1,31029120,90,0,0,0,10687808,0,0.055885664,0.069604997,0.069604997,0.025703388,0.025703347,20,0,0,0,0,0,0,0.043901609
202302,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.039635998,SINGLE PACK,0,0,0,0,0,0,0,9653504,0,0.050255998,0.050255998,0.050255998,0.025703315,0.025703326,24,0,0,0,0,0,0,0.024552683
202303,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.055638998,SINGLE PACK,0,0,0,0,0,0,0,10687808,0,0.054959998,0.055638998,0.055638998,0.025703325,0.025703332,27,0,0,0,0,0,0,0.029935673
202304,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.095328397,SINGLE PACK,0,1,38786400,91,0,0,0,12786725.27,0,0.063534464,0.095328397,0.095328397,0.025703343,0.025703335,24,0,0,0,0,0,0,0.069625054
202305,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.064259398,SINGLE PACK,0,0,0,0,0,0,0,13212949.45,0,0.071742264,0.071742264,0.071742264,0.025703328,0.025703331,25,0,0,0,0,0,0,0.046038936
202306,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.082463398,SINGLE PACK,0,0,0,0,0,0,0,12786725.27,0,0.080683731,0.082463398,0.082463398,0.025703332,0.025703332,26,0,0,0,0,0,0,0.056760066
202307,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.076065198,SINGLE PACK,0,1,38786400,92,0,0,0,13069330.43,0,0.074262665,0.076065198,0.076065198,0.025703334,0.025703333,26,0,0,0,0,0,0,0.050361864
202308,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.082696798,SINGLE PACK,0,0,0,0,0,0,0,13069330.43,0,0.080408465,0.082696798,0.082696798,0.025703331,0.025703332,27,0,0,0,0,0,0,0.056993467
202309,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.070757798,SINGLE PACK,0,0,0,0,0,0,0,12647739.13,0,0.076506598,0.076506598,0.076506598,0.025703332,0.025703332,24,0,0,0,0,0,0,0.050803266
202310,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.375578193,SINGLE PACK,0,1,43096000,88,0,0,0,15181545.45,0,0.176344263,0.375578193,0.182631716,0.025703333,0.025703332,26,0,0,0,0,0,0,0.156928383
202311,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.310472394,SINGLE PACK,0,0,0,0,0,0,0,14691818.18,0,0.252269462,0.310472394,0.182631716,0.025703332,0.025703332,26,0,0,0,0,0,0,0.156928384
202312,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.0734648,MULTI PACKSINGLE PACK,0,1,8957000,10,0,0,0,22179636.36,0,0.253171796,0.253171796,0.182631716,0.025703332,0.025703332,26,0,0,0,0,0,0,0.156928384
202401,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.0771308,SINGLE PACKMULTI PACK,0,1,35828000,91,0,0,0,12205142.86,0,0.153689331,0.153689331,0.153689331,0.025703332,0.025703332,26,0,0,0,0,0,0,0.127985999
